iter	Passed	Remaining
204	723	2805
205	725	2794
206	726	2785
207	728	2775
208	731	2769
209	733	2759
210	735	2749
211	737	2741
212	744	2749
213	745	2738
214	747	2728
215	748	2718
216	750	2707
217	752	2697
218	754	2690
219	756	2683
220	758	2673
221	760	2663
222	763	2659
223	764	2649
224	766	2639
225	768	2632
226	771	2626
227	772	2616
228	774	2606
229	775	2597
230	777	2587
231	778	2578
232	780	2569
233	786	2573
234	788	2566
235	791	2560
236	794	2559
237	800	2562
238	803	2558
239	805	2550
240	807	2542
241	808	2533
242	810	2524
243	812	2516
244	815	2513
245	817	2505
246	818	2496
247	820	2487
248	821	2478
249	823	2469
250	825	2462
251	826	2453
252	829	2448
253	831	2441
254	832	2432
255	834	2424
256	835	2416
257	837	2408
258	838	2399
259	840	2391
260	842	2385
261	844	2379
262	846	2372
263	848	2364
264	849	2357
265	852	2351
266	854	2344
267	867	2368
268	869	2362
269	875	2366
270	877	2359
271	878	2351
272	880	2344
273	949	2516
274	977	2578
275	980	2571
276	1008	2633
277	1020	2649
278	1031	2665
279	1040	2675
280	1054	2697
281	1091	2778
282	1096	2777
283	1098	2770
284	1101	2762
285	1112	2776
286	1117	2777
287	1128	2790
288	1148	2825
289	1153	2824
290	1159	2825
291	1162	2817
292	1165	2813
293	1169	2807
294	1171	2800
295	1173	2792
296	1177	2787
297	1181	2784
298	1186	2781
299	1194	2788
300	1196	2779
301	1200	2775
302	1205	2773
303	1209	2768
304	1211	2760
305	1216	2758
306	1217	2749
307	1219	2740
308	1221	2732
309	1230	2738
310	1232	2729
311	1235	2723
312	1246	2736
313	1248	2728
314	1250	2720
315	1252	2712
316	1255	2704
317	1260	2703
318	1262	2695
319	1264	2687
320	1267	2681
321	1277	2690
322	1279	2681
323	1281	2672
324	1282	2664
325	1285	2658
326	1288	2651
327	1291	2646
328	1293	2637
329	1295	2629
330	1297	2621
331	1299	2614
332	1307	2619
333	1311	2615
334	1315	2611
335	1321	2612
336	1328	2613
337	1331	2607
338	1337	2606
339	1340	2601
340	1346	2602
341	1350	2597
342	1351	2589
343	1353	2581
344	1363	2587
345	1365	2581
346	1377	2592
347	1379	2584
348	1385	2584
349	1394	2590
350	1398	2585
351	1406	2589
352	1411	2586
353	1413	2580
354	1422	2584
355	1424	2577
356	1427	2570
357	1430	2565
358	1435	2563
359	1439	2559
360	1444	2556
361	1458	2570
362	1461	2565
363	1485	2596
364	1501	2613
365	1506	2609
366	1508	2601
367	1510	2594
368	1519	2597
369	1521	2590
370	1523	2583
371	1534	2590
372	1544	2596
373	1547	2589
374	1549	2582
375	1551	2575
376	1553	2567
377	1582	2603
378	1585	2597
379	1591	2596
380	1596	2593
381	1599	2588
382	1604	2584
383	1650	2648
384	1661	2654
385	1668	2653
386	1670	2646
387	1673	2639
388	1677	2635
389	1687	2639
390	1701	2650
391	1704	2643
392	1710	2641
393	1712	2634
394	1715	2627
395	1745	2662
396	1749	2657
397	1765	2671
398	1768	2664
399	1792	2689
400	1797	2684
401	1807	2688
402	1820	2697
403	1825	2693
404	1833	2693
405	1838	2689
406	1842	2684
407	1845	2677
408	1850	2673
409	1853	2666
410	1854	2658
411	1870	2669
412	1872	2661
413	1874	2653
414	1880	2650
415	1882	2642
416	1884	2634
417	1888	2630
418	1897	2630
419	1899	2623
420	1901	2615
421	1903	2607
422	1905	2599
423	1911	2596
424	1913	2588
425	1915	2580
426	1916	2572
427	1919	2564
428	1920	2556
429	1927	2555
430	1931	2550
431	1933	2542
432	1935	2534
